measured,latency_ns,http_status,error_code,trade_id
false,33408708,200,,396
false,129691833,200,,395
false,23146708,200,,400
false,52713625,200,,399
false,145569708,200,,402
false,19412833,200,,416
false,24239708,200,,407
false,124447125,200,,411
false,44777291,200,,413
false,92515500,200,,409
false,24260083,200,,414
false,70341667,200,,408
false,130313125,200,,415
false,37488459,200,,406
false,29705000,200,,404
false,144800625,200,,403
false,124386042,200,,412
false,25916292,200,,410
false,33364417,200,,405
false,20521583,200,,419
false,20333833,200,,421
false,116597667,200,,420
false,200267917,200,,418
false,134480417,200,,417
false,18302583,200,,424
false,177565792,200,,423
false,81556583,200,,429
false,195156750,200,,426
false,81070041,200,,428
false,240214209,200,,430
false,60322583,200,,432
false,250461708,200,,431
false,127650000,200,,425
false,28273958,200,,422
false,85708500,200,,427
false,65453458,200,,439
false,21579750,200,,434
false,45603500,200,,436
false,33761125,200,,438
false,9473000,200,,446
false,68618500,200,,441
false,69154667,200,,442
false,22717959,200,,433
false,238900750,200,,445
false,19370583,200,,444
false,21037667,200,,437
false,19590125,200,,443
false,70099959,200,,440
false,189678834,200,,435
false,307893500,200,,448
false,170721458,200,,449
false,75807958,200,,447
false,20714417,200,,451
false,20505916,200,,450
false,11284334,200,,460
false,131672666,200,,461
false,16843791,200,,458
false,17230333,200,,477
false,73816959,200,,462
false,24226250,200,,474
false,73704458,200,,466
false,93462791,200,,454
false,27938833,200,,455
false,73865250,200,,463
false,72664500,200,,476
false,126276166,200,,475
false,85740792,200,,456
false,67076166,200,,472
false,94119333,200,,453
false,33297583,200,,452
false,192870209,200,,469
false,78380542,200,,459
false,32673167,200,,457
false,87619958,200,,464
false,34116333,200,,468
false,34402084,200,,471
false,84215292,200,,465
false,34416792,200,,467
false,198667167,200,,470
false,34268750,200,,473
false,276840250,200,,479
false,77962167,200,,504
false,46029833,200,,486
false,211920458,200,,484
false,320559042,200,,482
false,124572042,200,,493
false,146400917,200,,498
false,75083167,200,,509
false,91034833,200,,488
false,175209125,200,,500
false,149250667,200,,480
false,275907292,200,,481
false,43252166,200,,483
false,144102291,200,,491
false,77678667,200,,490
false,342251292,200,,496
false,41360958,200,,492
false,149062833,200,,501
false,279719416,200,,505
false,255343416,200,,485
false,77884875,200,,506
false,278234917,200,,495
false,30886750,200,,499
false,125508083,200,,494
false,30709000,200,,502
false,247504875,200,,497
false,30663208,200,,508
false,79621250,200,,503
false,79155833,200,,510
false,177235417,200,,514
false,148603000,200,,512
false,80693125,200,,513
false,92861125,200,,478
false,30807916,200,,507
false,80904000,200,,489
false,83519500,200,,515
false,37780292,200,,517
false,71458250,200,,516
false,32803791,200,,533
false,33262083,200,,529
false,96870458,200,,547
false,32441041,200,,538
false,155899459,200,,528
false,31923917,200,,548
false,32859750,200,,543
false,91731209,200,,522
false,33813625,200,,540
false,62249792,200,,519
false,181785667,200,,525
false,33904916,200,,532
false,33578333,200,,545
false,382158208,200,,536
false,63195167,200,,551
false,34016042,200,,544
false,33780709,200,,535
false,34853792,200,,531
false,33059709,200,,539
false,98961750,200,,518
false,33608250,200,,534
false,126055709,200,,524
false,159780458,200,,390
false,93125500,200,,521
false,130155667,200,,530
false,64414333,200,,553
false,64508625,200,,549
false,78004292,200,,526
false,212232584,200,,550
false,65860750,200,,523
false,151326959,200,,541
false,111764791,200,,552
false,151138750,200,,537
false,160172958,200,,520
false,83672625,200,,487
false,160445541,200,,546
false,80901000,200,,527
false,168143959,200,,542
false,83609583,200,,511
false,32856417,200,,580
false,32291375,200,,577
false,32814041,200,,581
false,31865292,200,,573
false,34019500,200,,571
false,33332750,200,,567
false,34047708,200,,572
false,34131584,200,,576
false,35269166,200,,575
false,214259375,200,,591
false,90231167,200,,582
false,61997875,200,,612
false,62273875,200,,608
false,65589417,200,,607
false,67294750,200,,622
false,65491125,200,,604
false,143299333,200,,598
false,99303917,200,,556
false,67205292,200,,616
false,99574333,200,,561
false,66227375,200,,613
false,378661667,200,,615
false,179899209,200,,626
false,99552250,200,,564
false,101245542,200,,555
false,101732708,200,,590
false,131344834,200,,587
false,67742250,200,,601
false,165361292,200,,603
false,422861083,200,,583
false,100383292,200,,554
false,67221167,200,,610
false,155870791,200,,619
false,101232125,200,,585
false,101595375,200,,574
false,101974083,200,,584
false,100676917,200,,596
false,217577292,200,,578
false,250598542,200,,617
false,132550000,200,,588
false,227035208,200,,629
false,102350334,200,,628
false,132057584,200,,557
false,103656709,200,,559
false,68829709,200,,614
false,68190125,200,,597
